procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14619040  67784 942648    0    0    37    17   14   74  0  0 100  0  0 2024-05-16 19:31:20
 1  0      0 14619040  67784 942644    0    0     0     0   61  445  0  0 100  0  0 2024-05-16 19:31:21
 0  0      0 14619040  67784 942656    0    0     0     0   65  469  0  0 100  0  0 2024-05-16 19:31:22
 1  0      0 14619040  67792 942660    0    0     0    48   71  496  0  0 100  0  0 2024-05-16 19:31:23
 0  0      0 14615124  67792 942660    0    0     0     0   80  527  0  0 100  0  0 2024-05-16 19:31:24
 0  0      0 14615124  67792 942660    0    0     0     0   67  497  0  0 100  0  0 2024-05-16 19:31:25
 0  0      0 14615124  67792 942680    0    0     0     0   61  454  0  0 99  0  0 2024-05-16 19:31:26
 0  0      0 14615124  67792 942684    0    0     0     0   51  451  0  0 100  0  0 2024-05-16 19:31:27
 0  0      0 14615124  67800 942684    0    0     0    20   66  447  0  0 100  0  0 2024-05-16 19:31:28
 0  0      0 14615124  67800 942684    0    0     0     0   59  451  0  0 100  0  0 2024-05-16 19:31:29
 0  0      0 14615164  67800 942704    0    0     0     0   64  452  0  0 100  0  0 2024-05-16 19:31:30
 0  0      0 14615164  67800 942708    0    0     0     0   63  449  0  0 100  0  0 2024-05-16 19:31:31
 0  0      0 14615164  67800 942708    0    0     0     0   65  438  0  0 100  0  0 2024-05-16 19:31:32
 0  0      0 14615164  67808 942708    0    0     0    20   52  426  0  0 100  0  0 2024-05-16 19:31:33
 0  0      0 14615164  67808 942724    0    0     0     0   58  461  0  0 100  0  0 2024-05-16 19:31:34
 0  0      0 14615164  67808 942728    0    0     0     0   56  432  0  0 100  0  0 2024-05-16 19:31:35
 0  0      0 14615164  67808 942728    0    0     0     0   60  444  0  0 100  0  0 2024-05-16 19:31:36
 0  0      0 14615164  67808 942728    0    0     0     0   57  447  0  0 99  0  0 2024-05-16 19:31:37
 0  0      0 14615164  67816 942744    0    0     0    20   70  491  0  0 100  0  0 2024-05-16 19:31:38
 0  0      0 14615164  67816 942748    0    0     0     0   57  436  0  0 100  0  0 2024-05-16 19:31:39
 0  0      0 14613260  67816 942748    0    0     0     0   69  496  0  0 100  0  0 2024-05-16 19:31:40
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 14615324  67816 942760    0    0     0     0   66  449  0  0 100  0  0 2024-05-16 19:31:41
 0  0      0 14615324  67816 942760    0    0     0     0   63  451  0  0 100  0  0 2024-05-16 19:31:42
 0  0      0 14615324  67824 942772    0    0     0    20   69  465  0  0 100  0  0 2024-05-16 19:31:43
 0  0      0 14615324  67824 942772    0    0     0     0   64  478  0  0 100  0  0 2024-05-16 19:31:44
 0  0      0 14615324  67824 942780    0    0     0   264   63  481  0  0 100  0  0 2024-05-16 19:31:45
