  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:31:21      0.00      0.00
19:31:22      0.00      0.00
19:31:23      0.05      0.05
19:31:24      0.00      0.00
19:31:25      0.00      0.00
19:31:26      0.00      0.00
19:31:27      0.00      0.00
19:31:28      0.04      0.04
19:31:29      0.00      0.00
19:31:30      0.00      0.00
19:31:31      0.00      0.00
19:31:32      0.00      0.00
19:31:33      0.00      0.00
19:31:34      0.00      0.00
19:31:35      0.00      0.00
19:31:36      0.00      0.00
19:31:37      0.00      0.00
19:31:38      0.05      0.05
19:31:39      0.00      0.00
19:31:40      0.00      0.00
19:31:41      0.00      0.00
19:31:42      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:31:43      0.00      0.00
19:31:44      0.00      0.00
19:31:45      0.00      0.00
19:31:46      0.00      0.00
19:31:47      0.05      0.05
19:31:48      0.00      0.00
19:31:49      0.00      0.00
19:31:50      0.00      0.00
19:31:51      0.04      0.04
19:31:52      0.00      0.00
19:31:53      0.00      0.00
19:31:54      0.13      0.11
19:31:55      0.00      0.00
19:31:56      0.00      0.00
19:31:57      0.00      0.00
19:31:58      0.00      0.00
19:31:59      0.00      0.00
19:32:00      4.55      6.82
19:32:01      0.25      0.00
19:32:02      2.53      4.82
19:32:03      1.56      3.19
19:32:04      0.77      2.16
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:32:05      0.90      2.70
19:32:06      0.77      2.16
19:32:07      0.77      2.16
19:32:08      0.77      2.16
19:32:09      0.77      2.16
19:32:10      0.83      2.70
19:32:11      0.77      2.16
19:32:12      1.38      3.12
19:32:13      6.34      2.42
19:32:14    142.71     51.64
19:32:15      0.99      2.80
19:32:16      2.50      6.16
19:32:17      0.99      2.25
19:32:18      0.77      2.25
19:32:19     20.73     23.60
19:32:20      1.10      3.79
19:32:21      1.12      3.55
19:32:22      0.77      2.25
19:32:23      0.77      2.25
19:32:24      0.77      2.25
19:32:25      0.77      2.80
19:32:26      1.46      4.01
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:32:27      0.83      2.25
19:32:28      0.77      2.25
19:32:29      2.05      3.62
19:32:30      1.03      2.51
19:32:31      1.03      3.36
19:32:32      1.10      3.60
19:32:33      0.77      2.25
19:32:34      0.77      2.25
19:32:35      0.77      2.25
19:32:36      0.83      2.80
19:32:37      1.23      2.76
19:32:38      1.00      2.84
19:32:39      1.20      2.84
19:32:40      1.57      3.07
19:32:41      1.12      3.21
19:32:42      1.10      3.25
19:32:43      0.77      2.25
19:32:44      2.75      5.31
19:32:45      0.77      2.22
19:32:46      1.00      2.60
19:32:47      1.23      2.73
19:32:48      0.77      2.22
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
19:32:49      0.77      2.22
19:32:50      1.70      3.89
19:32:51      1.00      3.20
19:32:52      0.97      2.76
